timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752018475483,311,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-56,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,311,0,207
1752018475493,315,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-57,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,315,0,207
1752018475503,311,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-58,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,311,0,209
1752018475513,308,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-59,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,308,0,205
1752018475522,309,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-60,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,309,0,206
1752018475532,309,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-61,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,309,0,207
1752018475542,310,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-62,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,310,0,207
1752018475553,310,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-63,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,310,0,205
1752018475563,320,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-64,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,320,0,207
1752018475574,309,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-65,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,309,0,205
1752018475594,332,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-67,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,332,0,207
1752018475582,344,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-66,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,344,0,208
1752018475602,324,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-68,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,324,0,209
1752018475613,313,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-69,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,313,0,207
1752018475624,309,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-70,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,309,0,206
1752018475633,309,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-71,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,309,0,207
1752018475644,312,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-72,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,312,0,207
1752018475653,310,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-73,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,310,0,207
1752018475663,310,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-74,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,310,0,206
1752018475674,310,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-75,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,310,0,206
1752018475683,347,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-76,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,347,0,244
1752018475693,339,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-77,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,339,0,236
1752018475702,329,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-78,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,329,0,226
1752018475712,321,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-79,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,321,0,215
1752018475722,312,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-80,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,312,0,207
1752018475732,310,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-81,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,310,0,206
1752018475742,308,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-82,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,308,0,206
1752018475753,310,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-83,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,310,0,205
1752018475763,311,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-84,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,311,0,207
1752018475773,314,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-85,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,314,0,207
1752018475783,319,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-86,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,319,0,216
1752018475822,312,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-90,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,312,0,210
1752018475812,326,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-89,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,326,0,223
1752018475831,309,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-91,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,309,0,207
1752018475802,341,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-88,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,341,0,231
1752018475792,351,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-87,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,351,0,241
1752018475843,312,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-92,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,312,0,209
1752018475853,310,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-93,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,310,0,207
1752018475862,312,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-94,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,312,0,209
1752018475881,310,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-96,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,310,0,208
1752018475872,321,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-95,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,321,0,218
1752018475901,332,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-98,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,332,0,229
1752018475891,343,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-97,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,343,0,240
1752018475911,325,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-99,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,325,0,222
1752018475925,338,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-100,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,338,0,221
1752018477833,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-6,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018477833,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-3,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018477833,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-9,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018477833,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-7,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018477833,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-1,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018477833,104,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-4,text,true,,708,609,100,100,https://dummyjson.com/products/add,104,0,0
1752018477833,104,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-8,text,true,,708,609,100,100,https://dummyjson.com/products/add,104,0,0
1752018477833,104,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-2,text,true,,708,609,100,100,https://dummyjson.com/products/add,104,0,0
1752018477833,104,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-5,text,true,,708,609,100,100,https://dummyjson.com/products/add,104,0,0
1752018477849,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-10,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
1752018477864,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-12,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018477864,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-11,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018477879,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-13,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018477879,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-14,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018477895,105,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-15,text,true,,708,609,100,100,https://dummyjson.com/products/add,105,0,0
1752018477911,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-17,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
1752018477911,111,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-16,text,true,,708,609,100,100,https://dummyjson.com/products/add,111,0,0
1752018477926,105,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-18,text,true,,708,609,100,100,https://dummyjson.com/products/add,105,0,0
1752018477942,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-21,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
1752018477942,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-20,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
